2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@3d9de940 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@6a2db76a [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@7fc28e9b [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@76ec9fdc [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@4850508b [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@71ea2ccf [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@2caa917e [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@7dd88453 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@4582eb86 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@5e836c98 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@6cd5f340 [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2023.04.13 18:43:24 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2023.04.13 18:43:24 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2023.04.13 18:43:24 INFO  web[][o.s.s.p.Platform] WebServer is operational
2023.04.13 19:00:50 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2023.04.13 19:00:50 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2023.04.13 19:00:50 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2023.04.13 19:00:50 INFO  web[][o.s.s.app.WebServer] WebServer stopped
2023.04.13 19:01:01 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2023.04.13 19:01:03 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
